status,message,id,terrestrial_date,ls,season,min_temp,max_temp,pressure,pressure_string,abs_humidity,wind_speed,atmo_opacity,sunrise,sunset,local_uv_irradiance_index,min_gts_temp,max_gts_temp,wind_direction,sol,unitOfMeasure,TZ_Data
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,1.00,2012-08-07T00:00:00.000Z,150.00,Month 6,NaN,NaN,NaN,Lower,NaN,NaN,Sunny,05:30,17:22,NaN,NaN,NaN,NaN,1.00,Celsius,America/Port_of_Spain
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,171.00,2012-09-04T00:00:00.000Z,166.00,Month 6,-75.00,-2.00,747.00,Lower,NaN,NaN,Sunny,05:24,17:20,Very_High,-78.00,7.00,NaN,29.00,Celsius,America/Port_of_Spain
200,NaN,172.00,2012-09-05T00:00:00.000Z,166.00,Month 6,-74.00,-3.00,747.00,Lower,NaN,NaN,Sunny,05:24,17:20,Very_High,-80.00,6.00,NaN,30.00,Celsius,America/Port_of_Spain
200,NaN,173.00,2012-09-06T00:00:00.000Z,167.00,Month 6,-74.00,-23.00,745.00,Lower,NaN,NaN,Sunny,05:24,17:20,Very_High,-80.00,2.00,NaN,31.00,Celsius,America/Port_of_Spain
200,NaN,174.00,2012-09-07T00:00:00.000Z,167.00,Month 6,NaN,NaN,NaN,Lower,NaN,NaN,Sunny,05:24,17:20,NaN,NaN,NaN,NaN,32.00,Celsius,America/Port_of_Spain
200,NaN,175.00,2012-09-08T00:00:00.000Z,168.00,Month 6,-73.00,-2.00,748.00,Lower,NaN,NaN,Sunny,05:23,17:20,Very_High,-80.00,5.00,NaN,33.00,Celsius,America/Port_of_Spain
200,NaN,176.00,2012-09-10T00:00:00.000Z,168.00,Month 6,-73.00,1.00,748.00,Lower,NaN,NaN,Sunny,05:23,17:20,Very_High,-78.00,6.00,NaN,34.00,Celsius,America/Port_of_Spain
200,NaN,177.00,2012-09-11T00:00:00.000Z,169.00,Month 6,-73.00,-1.00,749.00,Lower,NaN,NaN,Sunny,05:23,17:20,Very_High,-78.00,6.00,NaN,35.00,Celsius,America/Port_of_Spain
200,NaN,178.00,2012-09-12T00:00:00.000Z,169.00,Month 6,-73.00,-1.00,750.00,Lower,NaN,NaN,Sunny,05:23,17:20,Very_High,-78.00,7.00,NaN,36.00,Celsius,America/Port_of_Spain
200,NaN,179.00,2012-09-13T00:00:00.000Z,170.00,Month 6,-73.00,0.00,750.00,Lower,NaN,NaN,Sunny,05:23,17:20,Very_High,-78.00,7.00,NaN,37.00,Celsius,America/Port_of_Spain
200,NaN,180.00,2012-09-14T00:00:00.000Z,171.00,Month 6,-73.00,-13.00,750.00,Lower,NaN,NaN,Sunny,05:22,17:20,Very_High,-78.00,8.00,NaN,38.00,Celsius,America/Port_of_Spain
200,NaN,181.00,2012-09-15T00:00:00.000Z,171.00,Month 6,-75.00,-8.00,751.00,Lower,NaN,NaN,Sunny,05:22,17:20,Very_High,-79.00,7.00,NaN,39.00,Celsius,America/Port_of_Spain
200,NaN,182.00,2012-09-16T00:00:00.000Z,172.00,Month 6,-75.00,-12.00,753.00,Lower,NaN,NaN,Sunny,05:22,17:20,Very_High,-79.00,8.00,NaN,40.00,Celsius,America/Port_of_Spain
200,NaN,183.00,2012-09-17T00:00:00.000Z,172.00,Month 6,-75.00,-12.00,753.00,Lower,NaN,NaN,Sunny,05:22,17:20,Very_High,-79.00,8.00,NaN,41.00,Celsius,America/Port_of_Spain
200,NaN,184.00,2012-09-18T00:00:00.000Z,173.00,Month 6,-75.00,-7.00,754.00,Lower,NaN,NaN,Sunny,05:22,17:20,Very_High,-80.00,7.00,NaN,42.00,Celsius,America/Port_of_Spain
200,NaN,185.00,2012-09-19T00:00:00.000Z,173.00,Month 6,-74.00,-12.00,756.00,Lower,NaN,NaN,Sunny,05:22,17:20,Very_High,-80.00,9.00,NaN,43.00,Celsius,America/Port_of_Spain
200,NaN,186.00,2012-09-20T00:00:00.000Z,174.00,Month 6,-75.00,-10.00,757.00,Lower,NaN,NaN,Sunny,05:21,17:20,Very_High,-86.00,13.00,NaN,44.00,Celsius,America/Port_of_Spain
200,NaN,187.00,2012-09-21T00:00:00.000Z,175.00,Month 6,-74.00,-9.00,758.00,Lower,NaN,NaN,Sunny,05:21,17:20,Very_High,-87.00,11.00,NaN,45.00,Celsius,America/Port_of_Spain
200,NaN,188.00,2012-09-22T00:00:00.000Z,175.00,Month 6,-74.00,-12.00,758.00,Lower,NaN,NaN,Sunny,05:21,17:20,Very_High,-83.00,13.00,NaN,46.00,Celsius,America/Port_of_Spain
200,NaN,189.00,2012-09-23T00:00:00.000Z,176.00,Month 6,-75.00,-9.00,758.00,Lower,NaN,NaN,Sunny,05:21,17:20,Very_High,-83.00,14.00,NaN,47.00,Celsius,America/Port_of_Spain
200,NaN,190.00,2012-09-24T00:00:00.000Z,176.00,Month 6,-75.00,0.00,759.00,Lower,NaN,NaN,Sunny,05:21,17:20,Very_High,-84.00,12.00,NaN,48.00,Celsius,America/Port_of_Spain
200,NaN,191.00,2012-09-25T00:00:00.000Z,177.00,Month 6,-74.00,-10.00,761.00,Higher,NaN,NaN,Sunny,05:21,17:20,Very_High,-81.00,10.00,NaN,49.00,Celsius,America/Port_of_Spain
